sku,msrp,qty,price,cost,upc,type,status,visibility,enable_googlecheckout,tax_class_id,category_ids,iceus_component_type_1,iceus_watch_brand_and_designer,iceus_watch_collection,iceus_item_target_audience,name,url_path,url_key,page_layout,options_container,msrp_enabled,msrp_display_actual_price_type,gift_message_available,product_type_id,description,iceus_watch_strap_material,iceus_watch_dial_color,iceus_watch_movement_type,iceus_watch_clasp_type,iceus_watch_band_type,iceus_watch_band_color,iceus_watch_case_shape,iceus_watch_case_diameter,iceus_watch_bracelet_width,iceus_watch_bracelet_length,iceus_watch_crystal,iceus_watch_crown_type,country_of_manufacture,iceus_watch_water_resist,iceus_watch_bezel_material,attribute_set,iceus_vendor,weight
al-80012-rg-02-pn,150,8,122.99,90,86702502110,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Ceramic,Women,Anne Klein Women's Ceramic,Anne-Klein-Womens-Ceramic-al-80012-rg-02-pn/,Anne-Klein-Womens-Ceramic-10-9344rglp,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Metal case, Ceramic Bracelet, Mother of pearl Dial, Japanese-Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Ceramic,Pink,Quartz,Fold-Over Clasp with Doub,Bracelet,Pink,Round,32mm,16mm,6 inches,Mineral,Push/pull,China,3 ATM - 30 Meters - 99 Feet,Light pink ceramic bezel,Ice US,Accuratime Corp,1
al-80012-yg-02-bu,395,25,125.99,92.88,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,911",Watch,Kenneth Jay Lane,3000,Women,KJ LANE Women's 3000 Ceramic Series Blue Dial,KJ-LANE-Womens-3000-Ceramic-Series-Blue-Dial-al-80012-yg-02-bu/,KJ-LANE-Womens-3000-Ceramic-Series-Blue-Dial-kjlane-3018,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Blue ceramics case, Ceramic Bracelet,White mother of pearl dial, Japanese quartz movement, Sapphitek,Water resistant up to5 ATM/50 meters/165 feet",Ceramic,Blue,Japanese quartz,Push button deployment,Bracelet,Blue,Round,38mm,19mm,6 inches,Sapphitek,,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-80012-yg-02-wh,95,4,77.99,57,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Classic,Women,Anne Klein Women's Classic,Anne-Klein-Womens-Classic-al-80012-yg-02-wh/,Anne-Klein-Womens-Classic-10-9417wtwt,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Metal case, Stainless steel bracelet, Silver dial, Japanese-Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Ceramic,Mother of pearl,Japanese quartz,Jewelry,Bracelet,White,Round,32mm,16mm,6 inches,Mineral,Push/Pull,China,3 ATM - 30 Meters - 99 Feet,"Swarovski crystals, white enamel bezel with six Swarovski crystals",Ice US,Accuratime Corp,1
al-80013-11,2300,1,1841.99,1364,7.61E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Tag Heuer,Formula 1,Men,Tag Heuer Men's Formula 1,Tag-Heuer-Mens-Formula-1-al-80013-11/,Tag-Heuer-Mens-Formula-1-cah1210.ba0862,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Rubber Strap, Black dial, Quartz movemet Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Stainless Steel,Black,Quartz,deployment-clasp-with-dou,Bracelet,Silver & Black,Round,41mm,20mm,7 inches,Anti reflective,Push/pull,Switzerland,20 ATM-200 Meters-660 Feet,"Chronograph, Date display",Ice US,Accuratime Corp,1
al-80013-yg-22,750,25,132.99,97.49,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80013-yg-22/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12175,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Orange,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,White,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80013-yg-ss-22,750,25,116.99,85.64,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Maritime Pro,Men,Swiss Precimax Men's Maritime Pro,Swiss-Precimax-Mens-Maritime-Pro-al-80013-yg-ss-22/,Swiss-Precimax-Mens-Maritime-Pro-sp12193,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Effortlessly linking the casual and professional worlds, this Maritime Pro watch by Swiss Precimaxª has the luxury timepiece feel without removing any key features. This impressive watch showcases a 45mm silver stainless steel case and silver band that the brand is known for. The case harbors a blue patterned dial with chronograph subdials, a date subdial, as well as a standard date display. The internal workings of these watch is protected by a scratch-resistant Sapphimaxª crystal and a 100 meter water resistance you can count on. WhatÕs more, this watch is powered by a precise Swiss chronograph movement, making it a highly-accurate tool anywhere you go. Additional features include a chronograph, screw-down crown, and luminous hands.",Stainless Steel,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Rose Gold & Black,,45mm,14mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80014-014,140,8,74.99,54.6,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,407",Watch,Skagen,Classic,Women,Skagen Women's Classic,Skagen-Womens-Classic-al-80014-014/,Skagen-Womens-Classic-384xsgsg,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, Gray dial, Quartz movement, Scratch-resistant mineral, Water resistant up to 3 ATM - 30 Meters - 99 Feet",Mesh,Silver,Quartz,Jewelry,Bracelet,Silver & Gold,Rectangle,30mm,15mm,7 inches,Mineral,Push/pull,Denmark,3 ATM - 30 Meters - 100 Feet,D-Crystals on markers,Ice US,Accuratime Corp,1
al-80014-22s,140,8,74.99,54.6,7.69E+11,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,407",Watch,Skagen,Classic,Women,Skagen Women's Classic,Skagen-Womens-Classic-al-80014-22s/,Skagen-Womens-Classic-384xsrs,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, Green tinted Black dial, Quartz movent, Scratch resistant mineral, Water resistantup to 10 ATM - 100 meters - 330 feet",Mesh,Silver,Quartz,Jewelry,Bracelet,Silver & Gold,Round,21mm,17mm,7 inches,Mineral,Push/pull,Denmark,3 ATM - 30 meters - 99 feet,Crystals on Bezel,Ice US,Accuratime Corp,1
al-80014-rg-22,875,25,151.99,111.54,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80014-rg-22/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12170,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Black,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80014-yg-22,395,25,117.99,86.58,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Dashuri,Women,A Line Women's Dashuri,A-Line-Womens-Dashuri-al-80014-yg-22/,A-Line-Womens-Dashuri-al-80014-yg-22,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White MOP dial, Quartz movement, Scratch resistant minearal, Water resistant up to 3 ATM - 30 meters - 99 feet",,Silver,Quartz,Hidden,,Silver,Round,37mm,17mm,6 inches,Mineral,Push/pull with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80015-22-rd,825,25,142.99,104.97,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80015-22-rd/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12163,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Black & Silver,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-20010-sset,295,25,117.99,86.58,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A-Line Women's Marina,A-Line-Womens-Marina-al-20010-sset/,A-Line-Womens-Marina-al-20010-sset,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, Silver dial, Swiss Quartz movement, Scratch-resistant mineral, Water resistant up to 5 ATM - 50 meters - 165 feet",Genuine Leather,White,Japanese quartz,Buckle,Strap,White,Round,40mm,20mm,6 inches,Crystal,Push/pull with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-20041-nbwgr,825,25,151.99,111.54,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-20041-nbwgr/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12162,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Black,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-20041-nbwsr,110,25,89.99,66,86702508945,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Ceramic,Women,Anne Klein Women's Ceramic,Anne-Klein-Womens-Ceramic-al-20041-nbwsr/,Anne-Klein-Womens-Ceramic-ak-1018bkbk,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Brass case, Brass Bracelet,Champagne dial, Japanese quartz movement, mineral, 10 ATM/100 meters/330 feet",Ceramic,Black,Japanese quartz,Jewelry,Bracelet,Black,Round,30mm,16mm,6 inches,Mineral,Push/pull,China,5 ATM - 50 Meters - 165 Feet,"Black framed wall-to-wall mineral crystal, Stationary bezel",Ice US,Accuratime Corp,1
al-20041-wwwrr,110,4,89.99,66,86702508952,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Ceramic,Women,Anne Klein Women's Ceramic,Anne-Klein-Womens-Ceramic-al-20041-wwwrr/,Anne-Klein-Womens-Ceramic-ak-1019wtwt,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Brass case, Ceramic bracelet, Black dial, Japanese-Quartz movement, Scratch-resistant mineral, Water resistant up to 5 ATM - 50 Meters - 165 Feet",Ceramic,White,Japanese quartz,Jewelry,Bracelet,White,Round,30mm,16mm,6 inches,Mineral,Push/pull,China,3 ATM - 30 Meters - 99 Feet,Protective mineral crystal dial window,Ice US,Accuratime Corp,1
al-80008-yg-02-gn,825,25,151.99,111.54,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80008-yg-02-gn/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12164,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Black,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80010-012-lb,375,25,103.99,76.5,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Aroha,Women,A-Line Women's Aroha,A-Line-Womens-Aroha-al-80010-012-lb/,A-Line-Womens-Aroha-al-80010-012-lb,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch resistant K1 cystal, Water resistant up to 3 ATM - 30 Meters - 100 Feet",Silicone,Light Blue,Japanese quartz,Buckle,Strap,Light blue,Round,43mm,21.5mm,6 inches,Crystal,Push/Pull with white cabochon,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-80012-02-wh-sset,875,25,151.99,111.54,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80012-02-wh-sset/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12171,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Black,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Black,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80015-22-bu,450,25,117.99,86.58,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Marina,Women,A-Line Women's Marina,A-Line-Womens-Marina-al-80015-22-bu/,A-Line-Womens-Marina-al-80015-22-bu,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White MOP dial, Swiss Quartz movement, Scratch resistant minearal, Water resistant up to 3 ATM - 30 meters - 99 feet",Stainless Steel,Light Silver,Japanese chronograph quartz,Push button deployment with safety,Bracelet,Silver,Round,41mm,20.5mm,6 inches,Crystal,Screw-down with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80016-bb-11,95,3,77.99,57,86702521890,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Classic,Women,Anne Klein Women's Classic,Anne-Klein-Womens-Classic-al-80016-bb-11/,Anne-Klein-Womens-Classic-ak-1314bkbk,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Steel case with stainless steel caseback, Leather strap, Brown Mother of Pearl dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 99 feet",Ceramic,Black,Quartz,Jewelry,Bracelet,Black,Round,31mm,12mm,7 inches,Mineral,Push/pull,China,,Gold accent,Ice US,Accuratime Corp,1
al-80016-rg-22,350,25,103.99,76.5,U722631408900,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,GRA,Women,A Line Women's GRA,A-Line-Womens-GRA-al-80016-rg-22/,A-Line-Womens-GRA-al-80013-yg-ss-22,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White dial, Quartz movement, Scratch-resistant mineral, Water resistant up to 5 ATM - 50 Meters - 165 Feet",Stainless Steel,Silver,Japanese quartz,Push button deployment with safety,Bracelet,Rose Gold,Round,43 mm,17 mm,6 inches,Mineral,Push/Pull,China,5 ATM/50 meters/165 feet,Stainless steel,Ice US,Accuratime Corp,1
al-80016-rg-ss-22,39.95,25,30.99,22.4,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,381",Watch,Casio,Classic,Men,Casio Men's Classic,Casio-Mens-Classic-al-80016-rg-ss-22/,Casio-Mens-Classic-aw-80d-1av,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Rubber covered Stainless steel bracelet, Black dial, Quartz movement, Scratch resistant up to 10 ATM - 100 meters - 330 feet",Plastic,Black,Quartz,Buckle,Strap,Black,Round,38mm,21mm,7 inches,Mineral,Push/pull,China,5 ATM - 50 Meters - 165 Feet,Digital display,Ice US,Accuratime Corp,1
al-80020-11mop,275,25,117.99,86.58,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Liebe,Women,A-Line Women's Liebe,A-Line-Womens-Liebe-al-80020-11mop/,A-Line-Womens-Liebe-al-80020-11mop,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White Mother of Pearl dial, Quartz movement, Scratch resistan mineral, Water resistant up to 3 ATM - 30 meter - 99 feet",Stainless Steel,Black,Japanese chronograph quartz,Deployment with safety,Bracelet,Silver,Round,36mm,18mm,6 inches,Crystal,Screw-down with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80020-22mop,275,25,117.99,86.58,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Liebe,Women,A-Line Women's Liebe,A-Line-Womens-Liebe-al-80020-22mop/,A-Line-Womens-Liebe-al-80020-22mop,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Stainless steel case, Leather strap, White mother of pearl dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 10 meters - 165 feet",Stainless Steel,White,Japanese chronograph quartz,Deployment with safety,Bracelet,Silver,Round,36mm,18mm,6 inches,Crystal,Screw-down with white cabochon,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80020-bb-11mop,95,8,77.99,57,86702521920,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,372",Watch,Anne Klein,Classic,Women,Anne Klein Women's Classic,Anne-Klein-Womens-Classic-al-80020-bb-11mop/,Anne-Klein-Womens-Classic-ak-1315bkbk,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Steel case with stainless steel caseback, Leather strap, Gray dial, Quartz movement, Scratch resistant mineral, Water resistant up to 3 ATM - 30 meters - 100 feet",Ceramic,Black,Quartz,Jewelry,Bracelet,Black,Round,31mm,12mm,7 inches,Mineral,Push/pull,China,,,Ice US,Accuratime Corp,1
al-80020-rg-22mop,875,25,151.99,111.54,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,915",Watch,Swiss Precimax,Deep Blue Pro II,Men,Swiss Precimax Men's Deep Blue Pro II,Swiss-Precimax-Mens-Deep-Blue-Pro-II-al-80020-rg-22mop/,Swiss-Precimax-Mens-Deep-Blue-Pro-II-sp12173,No layout updates,Block after Info Column,Use config,Use config,No,simple,"A change of pace is always refreshing, and this Swiss Precimax watch is just what the doctor ordered. This watch sports an unmistakably stylish, two-tone, gold and silver case and band, which is bound by a secure fold over clasp with double push button safety. The stainless steel screw-down crown protects the inner mechanics of the watch, providing this timepiece with a reliable 100 meter water resistance. A true focal point, the three gold sub dials are powered by a precise chronograph movement, which provides this watch with the true timekeeping accuracy necessary for a variety of activities. Additional features include a scratch-resistant Sapphimax crystal, tachymeter, and date function.",Gold,Gold,Swiss Chronograph,Fold Over Clasp With Double Push Button Safety,Bracelet,Black,,47mm,15mm,7 inches,Sapphimax,,China,100 Meters / 330 Feet / 10 ATM,,Ice US,Accuratime Corp,1
al-80020-yg-22mop,600,10,111.99,82.13,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,313,900",Watch,Adee Kaye,Adore,Men,Adee KayeMen's Adore,Adee-Kaye--Mens-Adore-al-80020-yg-22mop/,Adee-Kaye--Mens-Adore-ak9044-mg,No layout updates,Block after Info Column,Use config,Use config,No,simple,Men al stainless steel case and bracelet Japan miyota 2115 movement IP Black- Black orange dial,Mesh,white,Japan Movement,Buckle,Strap,Gold,Round,42mm,21mm,7 inches,Mineral,,China,,,Ice US,Accuratime Corp,1
al-80022-01,295,25,90.99,66.42,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amare,Women,A-Line Women's Amare Black Genuine Leather Black Dial,A-Line-Womens-Amare-Black-Genuine-Leather-Black-Dial-al-80022-01/,A-Line-Womens-Amare-Black-Genuine-Leather-Black-Dial-al-80022-01,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Brushed stainless steel case, Genuine leather Strap,Silver dial, Quartz movement, Mineral,Water resistant up to10 ATM/100 meters/330 feet",Genuine Leather,Black,Japanese quartz (VD78),Push button deployment,Strap,Black,Round,40mm,20mm,6 inches,Mineral,,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80022-014-gy,295,25,90.99,66.42,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amare,Women,A-Line Women's Amare Gray Dial Gray Genuine Leather,A-Line-Womens-Amare-Gray-Dial-Gray-Genuine-Leather-al-80022-014-gy/,A-Line-Womens-Amare-Gray-Dial-Gray-Genuine-Leather-al-80022-014-gy,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Brushed stainless steel case, Genuine leather Strap,Silver dial, Swiss made movement movement, Sapphitek,Water resistant up to10 ATM/100 meters/330 feet",Genuine Leather,Gray,Japanese quartz (VD78),Buckle,Strap,Gray,Round,40mm,20mm,6 inches,Mineral,,China,5 ATM/50 meters/165 feet,,Ice US,Accuratime Corp,1
al-80022-02,150,25,90.99,66.42,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amare,Women,A-Line Women's Amare Silver Dial Black Genuine Leather,A-Line-Womens-Amare-Silver-Dial-Black-Genuine-Leather-al-80022-02/,A-Line-Womens-Amare-Silver-Dial-Black-Genuine-Leather-al-80022-02,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Brushed stainless steel case, Genuine leather Strap,White textured dial, Quartz movement, Mineral,Water resistant up to10 ATM/100 meters/ 330 feet",Genuine Leather,Silver,Quartz,Buckle,Strap,Silver,Round,40mm,20mm,6 inches,Mineral,,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1
al-80022-02-gy,295,25,90.99,66.42,,simple,Enabled,"Catalog, Search",Yes,Taxable Goods,"311,312,898",Watch,A Line,Amare,Women,A-Line Women's Amare Silver Tone Dial Gray Genuine Leather,A-Line-Womens-Amare-Silver-Tone-Dial-Gray-Genuine-Leather-al-80022-02-gy/,A-Line-Womens-Amare-Silver-Tone-Dial-Gray-Genuine-Leather-al-80022-02-gy,No layout updates,Block after Info Column,Use config,Use config,No,simple,"Brushed stainless steel case, Rubber Strap,Black dial, Swiss made quartz, ISA 2331/103 movement, Sapphitek,Water resistant up to5 ATM/50 meters/165 feet",Genuine Leather,Silver,Japanese quartz (VD78),Buckle,Strap,Silver,Round,40mm,20mm,6 inches,Mineral,,China,10 ATM/100 meters/330 feet,,Ice US,Accuratime Corp,1